Col,PEOU1,PEOU2,PEOU3,PEOU4,SAT1,SAT2,SAT3,SAT4,CON1,CON2,CON3,ATT1,ATT2,ATT3,SN1,SN2,CNT1,CNT2,CNT3,PRE1,PRE2,PRE3,PRE4,PRE5,PRE6,NAV1,NAV2,NAV3,NAV4,NAV5,NAV6,HED1,HED2,HED3,PU1,PU2,PU3,CI1,CI2,CI3
PRE2,0.011245899,0.015426871,0.178423743,0.121644923,0.127397574,-0.152773327,0.146074617,0.144029908,0.037766079,-0.034653239,0.186572061,0.057206073,0.044449531,-0.110627909,0.080766003,0.05413901,0.056382086,-0.187319753,-0.077195392,-0.140383001,0.749996185,-0.198794537,0.056351568,0.177248798,0.090104524,0.120332647,-0.001297017,0.11512932,-0.051880674,0.166430152,-0.13743801,-0.004654002,-0.014587625,0.153078508,0.128160525,0.11731136,-0.043503471,-0.035553521,-0.087571527,-0.117082475
PRE3,0.187853819,-0.077424277,-0.134569314,-0.03276112,0.079316396,0.190295262,0.011367971,0.116655222,0.045197223,0.086305028,-0.018814374,-0.167528801,-0.02870222,0.032791638,-0.14212253,0.034653239,0.154665446,-0.014206149,0.01200885,-0.103639277,0.099855039,1,-0.177767605,-0.0511635,0.157976654,-0.194583047,-0.187426566,0.154421302,0.05256733,-0.066605631,0.05038529,0.098069734,0.054062715,-0.10327306,-0.053009842,0.003707942,-0.102525368,-0.169787137,-0.073899443,-0.063065537
PRE4,0.302540627,0.03057908,-0.114122225,-0.118471046,-0.008819715,-0.198001068,0.158144503,0.133730068,-0.524879835,0.160738537,0.025955596,0.077439536,-0.132097353,-0.010482948,0.232623789,-0.070710307,0.152208743,0.164644846,0.100480659,-0.039993896,0.145586328,-0.105516136,0.999755856,-0.106813153,0.112413214,0.107469291,0.056046387,-0.606347753,-0.148485542,-0.083344778,-0.060044251,0.079514763,0.102037079,0.155275807,-0.095582513,0.600106813,-0.057892729,0.028839551,-0.361577783,-0.195407034
PRE5,0.053086137,0.03369192,-0.078843366,-0.169253071,0.110078584,0.080155642,0.142977035,-0.136522469,-0.126192111,-0.125886931,-0.12808423,0.006836042,0.151445792,-0.024444953,-0.037170977,0.040772107,-0.507377737,0.088868544,-0.049897002,0.003204395,0.032852674,0.109651331,0.102235447,0.749996185,-0.126878767,0.319050889,-0.109239338,-0.050537881,-0.151827268,0.019775692,-0.069153887,-0.104692149,-0.185717556,0.094529641,-0.10061799,0.580590524,-0.582452125,-0.041596094,0.083970397,0.023666743
PRE6,0.088395514,-0.040650034,-0.064362554,0.041992828,-0.154802777,-0.231067369,-0.122652018,-0.114076448,0.183840696,0.109178302,-0.049118791,-0.036484321,0.161516747,-0.227679866,0.66755169,-0.104478523,0.138933394,0.144487678,-0.130663005,-0.05725185,-0.067994202,0.112520027,-0.182269017,0.101365682,0.62496376,-0.03088426,0.108720531,-0.076981765,0.112108034,-0.171908141,-0.07316701,-0.006988632,-0.221667811,0.146349279,0.194705119,-0.084016175,-0.108827344,-0.160143435,0.604394598,0.089402609
NAV1,-0.086869612,0.07426566,-0.12590219,-0.162890059,0.044190127,-0.014404517,0.076478218,-0.035324636,-0.054627298,-0.070801862,0.152132448,0.106782635,0.393591211,-0.641687648,0.149828336,-0.018585489,0.027206836,-0.162005035,0.047409781,0.188128481,0.173403525,-0.150804913,-0.092545968,-0.12542916,-0.016189822,0.492149233,0.207125963,0.120210575,-0.033203632,-0.188067445,0.051667048,0.142915999,0.068131533,0.163118944,-0.575677119,0.04898146,0.046128023,-0.041596094,0.036987869,0.068894484
NAV2,-0.007675288,0.038422217,-0.134157321,0.194094759,-0.149111162,-0.946059358,0.063691157,-0.01794461,0.161806668,-0.189639124,-0.033661402,0.176226444,-0.113359274,0.119600214,0.369665064,-0.099397269,0.231082628,-0.290196078,-0.587502861,0.159639887,-0.00343328,-0.197985809,0.114122225,-0.532249943,0.067780575,0.193789578,0.992187381,-0.02183566,0.409124895,-0.003540093,-0.001525902,-0.179797055,0.362890059,-0.16583505,0.077546349,0.09001297,-0.018081941,0.192736706,-0.047074083,-0.014633402
NAV3,-0.022491798,-0.135530632,0.379324025,-0.032471199,0.150743877,-0.141374838,-0.030548562,-0.184130617,-0.003723201,-0.058930343,-0.161272602,0.05677882,-0.19609369,-0.056153201,-0.033508812,-0.059586481,0.140260929,-0.135713741,0.011062791,0.071076524,0.380865187,-0.125352865,0.025238422,-0.022705425,-0.573205158,-0.201312276,-0.033768215,1,0.233676661,0.074372473,0.008499275,-0.42574197,0.050598917,0.112626841,-0.182146944,-0.15585565,-0.096375982,0.283451591,-0.120500496,0.068085756
NAV4,0.063721675,-0.369771878,-0.113160906,0.127687495,0.563607233,0.115648127,-0.8733196,-0.038178073,0.029877165,-0.154589151,0.158617533,-0.173189899,0.049500267,0.256061646,-0.715556573,-0.074799725,-0.225528344,-0.261890593,-0.003753719,-0.137254902,-0.172503243,-0.013031205,0.370763714,-0.043533989,-0.114168002,0.05725185,0.125444419,-0.164080262,0.482383459,0.023361563,-0.164538033,0.729320211,0.197512779,-0.175341421,-0.425619898,-0.129930571,-0.110337987,0.126939803,-0.630182345,0.165300984
NAV5,-0.611749447,0.019592584,-0.406271458,0.72527657,0.098954757,0.157244221,0.197528038,-0.226108186,0.041153582,-0.016662852,-0.262638285,-0.130067903,-0.410589761,0.057495995,0.06131075,0.030975814,0.360143435,0.571160449,-0.170275425,-0.164629587,0.054642557,-0.100862135,0.047959106,0.065690089,-0.038544289,-0.30342565,-0.289204242,0.043244068,0.676630808,0.749660487,-0.205584802,0.115526055,-0.05038529,-0.933684291,-0.049134051,0.508857862,-0.198687724,1.24E-01,0.682566567,-0.173785
NAV6,0.175600824,0.553612573,-0.060028992,0.160234989,-0.080796521,0.144991226,-0.545387961,0.078202487,-0.03088426,0.093858244,-0.82824445,-0.368734264,0.00140383,-0.155306325,0.000793469,-0.135667964,-0.170931563,-0.262439918,-0.073884184,-0.666758221,-0.170992599,0.140306706,0.043945983,-0.035675593,-0.11934081,0.187869078,0.579812314,-0.522117952,0.128877699,-0.128343633,0.874998093,-0.978683146,0.057969024,-0.449546044,-0.094468605,-0.14898909,0.133516442,-0.117174029,0.024750134,0.034744793
HED1,0.280933852,0.190554665,-0.33698024,-0.051834897,-0.037384604,0.109758145,0.154161898,0.089463645,-0.021850919,-0.426184482,0.389883268,-0.65163653,-0.187350271,0.198886091,-0.442557412,-0.099015793,-0.128480964,-0.351293202,-0.782955673,-0.13214313,0.019363699,0.196673533,0.148607614,-0.048462654,0.159731441,0.18330663,-0.050400549,0.582848859,-0.31435111,0.086472877,-0.133730068,0.968749523,-0.276356146,-0.009124895,-0.286854353,-0.114091707,0.146196689,0.115663386,0.114061189,0.173144121
HED2,0.081254292,0.107301442,0.168871595,-0.613946746,-0.922240024,0.42153048,-0.777965972,-0.042175937,0.397268635,-0.243671321,-0.095857176,-0.055436027,-0.017303731,0.433661402,-0.548973831,0.230487526,-0.179934386,0.094941634,0.69407187,0.156542306,-0.134508278,-0.122697795,0.119325551,-0.16536202,0.583230335,-0.07753109,-0.420569162,-0.007507439,-0.690211337,-0.254688334,0.927840085,0.305271992,-0.999633783,0.013275349,0.126436255,-0.092271305,0.1316701,-0.268680858,-0.758770123,0.670435645
HED3,-0.16270695,-0.11139086,0.161715114,-0.015411612,-0.315480278,0.042404822,-0.046784161,-0.166155489,-0.05351339,0.191638056,0.15553521,-0.232700084,-0.245319295,0.335698482,0.815381094,-0.12011902,-0.575646601,-0.262455177,0.650400549,0.144548714,0.345662623,0.221164263,-0.26895552,0.428503853,0.567193103,0.66349279,0.14991989,0.16614023,-0.115846494,0.272159915,0.703578241,0.400259403,0.439108873,0.888593881,0.315648127,-0.169909209,0.535164416,-0.132066835,0.070160983,0.13838407
PU1,-0.247486076,0.230182345,-0.082261387,-0.774319066,-0.315190356,-0.929915312,-0.450690471,0.222537575,-0.589578088,0.431097887,-0.136308843,-0.041397726,0.199649042,0.553276875,0.521477073,0.379079881,-0.084779126,-0.26599527,-0.159304189,-0.033401999,-0.491309987,0.615030137,0.294102388,0.525597009,-0.11216907,0.271702144,-0.139070726,0.141435874,0.481574731,-0.240817884,-0.044098573,0.060196841,0.538963912,0.130022126,0.963622492,0.092118715,-0.55944152,-0.177416648,0.159777218,-0.082551308
PU2,-0.442786297,-0.510322728,0.335927367,-0.254779889,0.121431296,-0.181475547,0.075059129,-0.110597391,-0.017929351,0.164309148,0.128831922,0.347096971,-0.12387274,0.018127718,-0.362020294,-0.018493935,-0.049622339,0.093690394,0.085099565,0.22293431,-0.060303655,-0.356908522,0.662729839,0.152529183,-0.073670558,-0.120332647,-0.095429923,0.039505608,0.054993515,-0.2352636,-0.015854124,-0.152025635,0.385626001,0.737880522,-0.776623178,-0.706721599,-0.267353323,-0.966399634,0.250629435,0.154222934
PU3,0.255725948,-0.558159762,-0.505546654,-0.712932021,0.211627375,0.446707866,-0.088532845,-0.391851682,0.612695506,-0.39656672,-0.948729686,0.070618753,-0.516014343,0.019043259,0.685664149,0.467521172,-0.290089265,-0.148226139,0.616800183,-0.175539788,0.060898756,-0.226413367,0.1859617,0.612466621,-0.393621729,-0.20373846,0.588311589,-0.534264134,-0.247943847,-0.138246738,-0.006042573,-0.045639734,0.142717632,0.167818723,0.002288853,0.04103151,0.98205539,0.350255589,-0.184924086,0.100724804
CI1,-0.577767605,-0.16490425,0.070099947,-0.052475776,0.948393988,0.626276036,0.107072557,0.243961242,0.06582742,0.06178378,0.091783017,0.354879072,-0.172243839,0.176241703,-0.805493248,-0.230304417,-0.037964446,0.143404288,-0.029602502,-0.078492409,0.044892042,0.026016632,-0.566124971,-0.776455329,-0.33946746,0.050400549,-0.056336309,0.052674144,-0.132799268,-0.106919966,0.23088426,-0.206759747,-0.311146715,-0.158403906,0.570016022,-0.054657816,-0.25491722,0.968245975,-0.121461814,-0.258640421
CI2,-0.111421378,-0.76209659,0.546349279,0.071488518,-0.491447318,-0.158403906,0.397985809,-0.250614176,0.573846036,-0.059952697,-0.127840085,-0.154482338,-0.655649653,-0.521644923,-0.806469825,-0.447806516,0.255939574,0.191592279,0.140581369,-0.39438468,-0.218463416,-0.034210727,-0.469001297,-0.052964065,0.299763485,0.040131228,0.08798352,0.006927596,0.082642863,0.30640116,0.225207904,-0.141847868,-0.077012284,0.056107424,0.020462348,-0.056046387,-0.17878996,0.19734493,0.991439689,0.018478676
CI3,-0.452368963,-0.238315404,0.712260624,0.817441062,0.011642634,-0.230457008,0.608606088,0.942870222,-0.802243076,0.803875792,0.152681773,0.24695201,0.99485771,-0.506889448,0.133897917,-0.16427863,-0.678644999,-0.065430686,-0.491203174,0.153765164,0.819913024,0.446066987,0.067872129,-0.001892119,-0.415609979,-0.179980163,0.35490959,-0.133089189,0.762676432,0.379293507,-0.076295109,-0.000488289,0.182330053,-0.50264744,-0.11622797,0.455298695,-0.00967422,0.018204013,-0.12387274,0.968261234
